Experiment  Organism
556 Acidaminobacter
4411	Rikenellaceae
536	Roseburia
4055	Roseburia
1838  Roseburia
9670	Roseburia Inulinivorans
3985	Ruminococcaceae
4408	Ruminococcaceae
3958	Ruminococcaceae
7242	Ruminococcaceae
626	Ruminococcaceae
10250	Ruminococcus
5215	Ruminococcus
9957	Ruminococcus
10246	Ruminococcus
1839	Ruminococcus
552	Ruminococcus albus
546	Ruminococcus obeum
9306	Selenomonas sputigena
9392	Serratia
645	Slackia
9677	Solobacterium moorei
582	Sphingobacterium
7336	Sphingobium
585	Sphingomonas
607	Staphylococcus
593	Stenotrophomonas
618	Stenotrophomonas
8588	Streptococcus
9954	Streptococcus
615	Streptococcus
3395	Streptococcus
3994	Streptococcus
7243	Streptococcus
7246	Streptococcus
4063	Streptococcus
542	Streptococcus
599	Streptococcus
9307	Streptococcus anginosus
5219	Streptococcus salivarius
5216	Streptococcus salivarius
7360	Succinivibrio
4116	Sutterella
9669	Synechococcus
6188	Thielaviopsis
8647	TM7
9720	Tunalikevirus
617	Turicibacter
9730	Twortvirus
9735	Uetekavirus
9724	Zindervirus
